Table V9.0,keyName,OriginalKey,ExpandedKey,Duplicate,Activity code
ADOCFNC,ADF0,TYP+COD+NUM,TYP(Type of document) +   COD(Code) +   NUM(Line number) +   ,No,
ADOCUMENT,ADO0,LAN+TYP+COD+LEV+SUBLEV,LAN(Language) +   TYP(Type of document) +   COD(Code) +   LEV(Level) +   SUBLEV(Sub-level) +   ,No,
ADOCUMENT,ADO1,LAN+TYP+COD+PAR,LAN(Language) +   TYP(Type of document) +   COD(Code) +   PAR(Paragraph) +   ,Yes,
ADOCUMENT,ADO2,COD+LEV+SUBLEV,COD(Code) +   LEV(Level) +   SUBLEV(Sub-level) +   ,Yes,
ADOCUMENT,ADO3,TYP+COD+LEV+SUBLEV,TYP(Type of document) +   COD(Code) +   LEV(Level) +   SUBLEV(Sub-level) +   ,Yes,
ADOPAR,ADP0,CHAPITRE+PARAM,CHAPITRE(Chapter) +   PARAM(Description) +   ,No,
ADOPAR,ADP1,PARAM,PARAM(Description) +   ,No,
ADOPAR,ADP3,CHAPITRE+RANG+PARAM,CHAPITRE(Chapter) +   RANG(Sequence) +   PARAM(Description) +   ,No,
ADOPAR,ADP4,OBJET+PARAM,OBJET(Object) +   PARAM(Description) +   ,No,
ADOPAR,ADP5,CHAPITRE+GRPPAR+PARAM,CHAPITRE(Chapter) +   GRPPAR(Group) +   PARAM(Description) +   ,No,
ADOSACT,ADA0,DOSSIER+CODACT,DOSSIER(Folder) +   CODACT(Activity code) +   ,No,
ADOSDIM,ADE0,DOSSIER+DIMCOD,DOSSIER(Folder) +   DIMCOD(Code) +   ,No,
ADOSLIV,ADK0,DOSSIER+COD,DOSSIER(Folder) +   COD(Code) +   ,No,
ADOSSIER,DOSSIER,DOSSIER,DOSSIER(Folder) +   ,No,
ADOSSOL,ADD0,DOSSIER+NUMLIG,DOSSIER(Folder) +   NUMLIG(Line no.) +   ,No,
ADOVAL,ADW0,CMP+FCY+PARAM,CMP(Company) +   FCY(Site) +   PARAM(Description) +   ,No,
ADOVAL,ADW1,PARAM+CMP+FCY,PARAM(Description) +   CMP(Company) +   FCY(Site) +   ,No,
ADOVALAUS,ADU0,CODUSR+PARAM,CODUSR(User) +   PARAM(Description) +   ,No,
ADOVALAUS,ADU1,PARAM+CODUSR,PARAM(Description) +   CODUSR(User) +   ,No,
ADOVALGRP,ADG0,CHAPITRE+GRPPAR+GRPDEF+PARAM,CHAPITRE(Chapter) +   GRPPAR(Group) +   GRPDEF(Set of values) +   PARAM(Description) +   ,No,
ADOVALGRP,ADG1,GRPDEF+CHAPITRE+GRPPAR+PARAM,GRPDEF(Set of values) +   CHAPITRE(Chapter) +   GRPPAR(Group) +   PARAM(Description) +   ,No,
ADOVALHIS,AHW0,CMP+FCY+PARAM,CMP(Company) +   FCY(Site) +   PARAM(Description) +   ,No,
ADOVALHIS,AHW1,PARAM+CMP+FCY,PARAM(Description) +   CMP(Company) +   FCY(Site) +   ,No,
AECLIDBG,AEG0,NUMLIG,NUMLIG(Line no.) +   ,No,
AECLIDBG,AEG1,DOSSIER+LOGIN,DOSSIER(Folder) +   LOGIN(Login) +   ,Yes,
AECLIRDV,AEC0,NUMLIG,NUMLIG(Line no.) +   ,No,
AECLIRDV,AEC1,DOSSIER+LOGIN,DOSSIER(Folder) +   LOGIN(Login) +   ,Yes,
AELT,ELT0,ELTTYP+ELT+ELTLAN,ELTTYP(Type) +   ELT(Entry) +   ELTLAN(Language) +   ,No,
AELT,ELT1,ELTTYP+ELTINV+ELT+ELTLAN,ELTTYP(Type) +   ELTINV(Valid) +   ELT(Entry) +   ELTLAN(Language) +   ,No,
AELTLINK,ELK0,ELTTYP+ELT+ELTTYPLK+ELTLK,ELTTYP(Type) +   ELT(Entry) +   ELTTYPLK(Linked type) +   ELTLK(Linked element) +   ,No,
AELTLINK,ELK1,ELTTYPLK+ELTLK+ELTTYP+ELT,ELTTYPLK(Linked type) +   ELTLK(Linked element) +   ELTTYP(Type) +   ELT(Entry) +   ,No,
AENCHAINE,CODE,CODE+NUMLIG,CODE(Code) +   NUMLIG(Order no.) +   ,No,
AENTREE,APE0,TRTSTD+OBJ+TRTSPE,TRTSTD(Standard processing) +   OBJ(Object) +   TRTSPE(Specific processing) +   ,No,
AESPION,ESPDAT,ESPDAT+ESPTIM,ESPDAT(Date) +   ESPTIM(Time) +   ,Yes,
AESPION,ESPUSR,ESPUSR+ESPDAT+ESPTIM,ESPUSR(User) +   ESPDAT(Date) +   ESPTIM(Time) +   ,Yes,
AEXPV3,AEV0,CODE,CODE(Code) +   ,No,
AEXPV3D,AED0,CODE+LIG,CODE(Code) +   LIG(Line) +   ,No,
AFCTCUR,AFU0,UID+FCT,UID(Identifier) +   FCT(Function) +   ,No,
AFCTEXE,AFE0,USR+LIG,USR(User code) +   LIG(Line number) +   ,No,
AFCTFCT,AFT0,PRFCOD,PRFCOD(Profile code) +   ,No,
AFCTFCY,AFF0,FCY+PRFCOD+FNC,FCY(Site) +   PRFCOD(Profile code) +   FNC(Function) +   ,No,
AFCTFCY,AFF1,PRFCOD+FNC,PRFCOD(Profile code) +   FNC(Function) +   ,Yes,
AFCTPRF,AFP0,PRFCOD+FNC+FCYGRU,PRFCOD(Profile code) +   FNC(Function) +   FCYGRU(Site grouping) +   ,No,
AFONCTION,CODINT,CODINT,CODINT(Internal code) +   ,No,
AFONCTION,CODEXT,CODEXT,CODEXT(External code) +   ,No,
AFONCTION,MENU,MENU+RANG+CODINT,MENU(Parent menu) +   RANG(Row in menu) +   CODINT(Internal code) +   ,No,
AFONCTION,NUMFNC,NUMFNC,NUMFNC(Number) +   ,No,
AFONCTION,MODULE,MODULE+MENU+CODINT,MODULE(Module) +   MENU(Parent menu) +   CODINT(Internal code) +   ,No,
AFORDIM,AFO0,CODFIC,CODFIC(Table code) +   ,No,
AGDPRMAI,AGMAI0,NUMREQ,NUMREQ(Query no.) +   ,No,
AGDPRMAI,AGMAI1,MAICOD+TABCOD+TABFLD,MAICOD() +   TABCOD(Table) +   TABFLD(Fields) +   ,No,
AGDPRPHONE,AGPHO0,NUMREQ,NUMREQ(Query no.) +   ,No,
AGDPRPHONE,AGPHO1,TELCOD+TABCOD+TABFLD,TELCOD() +   TABCOD(Table) +   TABFLD(Fields) +   ,No,
AGDPRSETTING,AGS0,CODE,CODE(Code) +   ,No,
AGDPRSETTING,AGS1,TYP+CODE,TYP(Type) +   CODE(Code) +   ,No,
AGDPRSETTING,AGS2,TYP+CODATY+CODATB+CODE,TYP(Type) +   CODATY(Data type) +   CODATB(Table) +   CODE(Code) +   ,No,
AGDPRVCR,AGVCR0,UID+CODATY+CODFIC+CODE+VCRKEY,UID(Identifier) +   CODATY(Data type) +   CODFIC(Table) +   CODE(Code) +   VCRKEY(Document) +   ,No,
AGDPRVCR,AGVCR1,UID+VCRKEY,UID(Identifier) +   VCRKEY(Document) +   ,Yes,
AGLOBVAR,AGB0,CODVAR,CODVAR(Variable code) +   ,No,
AGLOBVAR,AGB1,TRTSTD+RANG+CODVAR,TRTSTD(Processing) +   RANG(Sequence) +   CODVAR(Variable code) +   ,No,
AGLOBVAR,AGB2,PARAM+CODVAR,PARAM(Parameter) +   CODVAR(Variable code) +   ,No,
AGRPCPY,AGC0,GRP+CPY,GRP(Group) +   CPY(Company) +   ,No,
AGRPCPY,AGC1,CPY+GRP,CPY(Company) +   GRP(Group) +   ,No,
AGRPFCY,AGF0,GRP,GRP(Group) +   ,No,
AHISTO,AHI0,COD,COD(Code) +   ,No,
AHISTOD,AHD0,COD+LIG,COD(Code) +   LIG(Line number) +   ,No,
AINDEX,ANX0,LIG,LIG(Line number) +   ,No,
AINDEX,ANX1,TABLE+LIG,TABLE(Table) +   LIG(Line number) +   ,No,
AINDEX,ANX2,TABLE+CODIND,TABLE(Table) +   CODIND(Index code) +   ,No,
AITRLNK,AIT0,CODLNK,CODLNK(Identifier) +   ,No,
AJSAUDIT,,, +   ,,
AJSCONT,,, +   ,,
AJSEXCEPT,,, +   ,,
AJSSYNC,,, +   ,,
ALINK,ALI0,USRCOD+SRCOBJ+SRCKEY+DSTOBJ+DSTKEY,USRCOD(Group) +   SRCOBJ(Source object) +   SRCKEY(Source key) +   DSTOBJ(Destination object) +   DSTKEY(Destination key) +   ,No,
ALISTEC,ALC0,COD,COD(Code) +   ,No,
ALISTED,ALD0,COD+LIG,COD(Code) +   LIG(Line number) +   ,No,
ALISTED,ALD1,COD+ORD,COD(Code) +   ORD(Order) +   ,Yes,
ALISTEH,ALH0,COD,COD(Code) +   ,No,
ALISTEL,ALL0,COD+LNKORG+LNKDES,COD(Code) +   LNKORG(Link) +   LNKDES(Link) +   ,No,
ALISTER,ALR0,COD+USR+NIV+LIG+COL,COD(Code) +   USR(Operator) +   NIV(Level) +   LIG(Line) +   COL(Column) +   ,No,
ALISTET,ALT0,COD+TBL,COD(Code) +   TBL(Table) +   ,No,
ALNKSUB,ALB0,CRY+TYP+POS,CRY(Country) +   TYP(Subdivision) +   POS(Postal code) +   ,No,
ALNKSUB,ALB1,COD+CRY+TYP,COD(Code) +   CRY(Country) +   TYP(Subdivision) +   ,Yes,
ALOGIN,ALO0,BDDID+FLG,BDDID(BDD identifier) +   FLG(Active flag) +   ,Yes,
ALOGIN,ALO1,SEQ,SEQ(Sequence no.) +   ,No,
ALOGIN,ALO2,ADOID,ADOID(X3 identifier) +   ,Yes,
ALSTRD,ALS0,USR+OBJ+LIG,USR(User code) +   OBJ(Object to process) +   LIG(Line number) +   ,No,
AMAINT,AMI0,COD,COD(Code) +   ,No,
AMEMO,AMM0,MEMO,MEMO(Memo) +   ,No,
AMENLOC,MENLOC,MENLOC,MENLOC(Local menu) +   ,No,
AMENUSER,CODMEN,CODPRF+NUMLIG,CODPRF(Profile code) +   NUMLIG(Line number) +   ,No,
AMENUSER,MENCOD,CODPRF+MENU+NUMLIG,CODPRF(Profile code) +   MENU(Menu code) +   NUMLIG(Line number) +   ,No,
AMENUSER,MENFCT,CODPRF+FONCTION,CODPRF(Profile code) +   FONCTION(Function) +   ,Yes,
AMETUTI,AME0,CODMET,CODMET(Profession code) +   ,No,
AMIGKEY,AMY0,DOSSIER+IDENT,DOSSIER(Folder) +   IDENT(Identifier) +   ,No,
AMOTCLE,AMC0,TYPZON+IDENT1+IDENT2,TYPZON(Type) +   IDENT1(Identifier 1) +   IDENT2(Identifier 2) +   ,No,
AMOTCLE,AMC1,IDENT1+IDENT2,IDENT1(Identifier 1) +   IDENT2(Identifier 2) +   ,Yes,
AMOULIN,AI01,CODE,CODE(Code) +   ,No,
AMOULIN,AI02,INDICEM,INDICEM(Index) +   ,No,
AMOULIN1,AI11,PLAN,PLAN(Plan) +   ,No,
AMOULIN2,AI21,PLAN+CODE,PLAN(Plan) +   CODE(Code) +   ,No,
AMSK,CODMSK,CODMSK,CODMSK(Screen code) +   ,No,
AMSK,ABRMSK,ABRMSK,ABRMSK(Screen abbreviation) +   ,Yes,
AMSKACT,TYPAFF,TYPAFF+CODAFF+CODZON+TYPACT+NOACT,TYPAFF(Assignment type) +   CODAFF(Assignment code) +   CODZON(Field code) +   TYPACT(Action type) +   NOACT(Order no.) +   ,No,
AMSKACT,NOACT,CODAFF+CODZON+TYPACT+NOACT+TYPAFF,CODAFF(Assignment code) +   CODZON(Field code) +   TYPACT(Action type) +   NOACT(Order no.) +   TYPAFF(Assignment type) +   ,No,
AMSKPAR,CODPAR,TYPAFF+CODAFF+CODZON+CODPAR,TYPAFF(Assignment type) +   CODAFF(Assignment code) +   CODZON(Field code) +   CODPAR(Parameter code) +   ,No,
AMSKPAR,CODAFF,CODAFF+CODZON,CODAFF(Assignment code) +   CODZON(Field code) +   ,Yes,
AMSKZON,CODE,CODMSK+CODZON,CODMSK(Screen code) +   CODZON(Field code) +   ,No,
AMSKZON,CODZON,CODMSK+NUMBLOC+NOZONE+CODZON,CODMSK(Screen code) +   NUMBLOC(Block code) +   NOZONE(Field number) +   CODZON(Field code) +   ,No,
AMSKZON,CODTYP,CODTYP+CODMSK+CODZON,CODTYP(Data type) +   CODMSK(Screen code) +   CODZON(Field code) +   ,No,
AMSKZON,DICO,CODZON+CODMSK,CODZON(Field code) +   CODMSK(Screen code) +   ,No,
ANAVCRE,ANI0,COD+LIG,COD(Navigation code) +   LIG(Line number) +   ,No,
ANAVCRE,ANI1,FNC+OBJ+LIG,FNC(Starting function) +   OBJ(Arrival object) +   LIG(Line number) +   ,No,
ANAVFIL,ANH0,COD+LIG,COD(Navigation code) +   LIG(Line number) +   ,No,
ANAVFIL,ANH1,FNC+OBJ+LIG,FNC(Starting function) +   OBJ(Arrival object) +   LIG(Line number) +   ,No,
ANAVIG,ANG0,COD,COD(Navigation code) +   ,No,
ANAVIG,ANG1,FNC+OBJ,FNC(Starting function) +   OBJ(Arrival object) +   ,No,
ANNUAIRE,ANU0,COD,COD(Code) +   ,No,
AOBJBUR,AOA0,ABREV+IDENT1+IDENT2+IDENT3,ABREV(Object code) +   IDENT1(Identifier 1) +   IDENT2(Identifier 2) +   IDENT3(Identifier 3) +   ,No,
AOBJBURMOD,AON0,ABREV+TRN+CPY+MODELE,ABREV(Object code) +   TRN(Transaction) +   CPY(Company) +   MODELE(Template code) +   ,No,
AOBJET,ABREV,ABREV,ABREV(Object code) +   ,No,
AOBJET,NOMFIC,NOMFIC+ABREV,NOMFIC(Linked table) +   ABREV(Object code) +   ,No,
AOBJEXT,AOE0,EXT,EXT(Template) +   ,No,
AOBJEXT,AOE1,OBJ+EXT,OBJ(Object) +   EXT(Template) +   ,No,
AOBJEXTD,AOD0,EXT+NUMLIG,EXT(Template) +   NUMLIG(Line no.) +   ,No,
AOBJEXTMP,AOW0,NUMLOT,NUMLOT(Lot no.) +   ,No,
AOBJEXTMP,AOW1,EXT+NUMLOT,EXT(Template) +   NUMLOT(Lot no.) +   ,Yes,
AOBJEXTMPB,AOZ0,NUMLOT+NUMLIG,NUMLOT(Lot no.) +   NUMLIG(Line no.) +   ,No,
AOBJEXTMPB,AOZ2,NUMLOT-NUMLIG,NUMLOT-NUMLIG +   ,No,
AOBJEXTMPC,AOY0,NUMLOT+NUMLIG,NUMLOT(Lot no.) +   NUMLIG(Line no.) +   ,No,
AOBJEXTMPC,AOY2,NUMLOT-NUMLIG,NUMLOT-NUMLIG +   ,No,
AOBJEXTMPD,AOV0,NUMLOT+NUMLIG+FLDNUM,NUMLOT(Lot no.) +   NUMLIG(Line no.) +   FLDNUM(Field number) +   ,No,
AOBJEXTMPD,AOV1,NUMLOT+NUMLIG,NUMLOT(Lot no.) +   NUMLIG(Line no.) +   ,Yes,
AOBJEXTMPD,AOV2,NUMLOT-NUMLIG+FLDNUM,NUMLOT-NUMLIG +   FLDNUM(Field number) +   ,No,
AOBJEXTMPD,AOV3,NUMLOT-NUMLIG+AOVFIL+AOVFLD+FLDNUM,NUMLOT-NUMLIG +   AOVFIL(Table) +   AOVFLD(Field) +   FLDNUM(Field number) +   ,No,
AOBJEXTMPE,AOU0,NUMLOT+NUMLIG+FLDNUM,NUMLOT(Lot no.) +   NUMLIG(Line no.) +   FLDNUM(Field number) +   ,No,
AOBJEXTMPE,AOU2,NUMLOT-NUMLIG+FLDNUM,NUMLOT-NUMLIG +   FLDNUM(Field number) +   ,No,
AOBJEXTR,AOR0,NUMTAB+NUMLIG,NUMTAB(Table number) +   NUMLIG(Line no.) +   ,No,
