Table,Abbreviation,Description,Module,Activity code,Column,Normal title,Dim.,Type,Length,Menu,Link expression,Cancellation,Act
ABATABTD,ABD,Batch server (recurring tasks),Supervisor,,CODTAC,Task code,,ABT,,,[ABT]CODTAC=[ABD]CODTAC,Delete,
ABATABTD,ABD,Batch server (recurring tasks),Supervisor,,CREDATTIM,Date time,,ADATIM,,,,,
ABATABTD,ABD,Batch server (recurring tasks),Supervisor,,CREUSR,User,,AUS,,,[AUS]CODUSR=[ABD]CREUSR,Other,
ABATABTD,ABD,Batch server (recurring tasks),Supervisor,,LIG,Line number,,C,3.0,,,,
ABATABTD,ABD,Batch server (recurring tasks),Supervisor,,NUM,Number,,C,4.0,,,,
ABATABTD,ABD,Batch server (recurring tasks),Supervisor,,PARAM,Parameter,,A,15.0,,,,
ABATABTD,ABD,Batch server (recurring tasks),Supervisor,,UPDDATTIM,Date time,,ADATIM,,,,,
ABATABTD,ABD,Batch server (recurring tasks),Supervisor,,UPDUSR,User,,AUS,,,[AUS]CODUSR=[ABD]UPDUSR,Other,
ABATABTD,ABD,Batch server (recurring tasks),Supervisor,,VALEUR,Value,,A,30.0,,,,
ABATCAL,ABC,Batch server calendar,Supervisor,,AUUID,Single identifier,,AUUID,,,,,
ABATCAL,ABC,Batch server calendar,Supervisor,,COD,Calendar,,ABC,,,[ABC]ABC0=[ABC]COD,Delete,
ABATCAL,ABC,Batch server calendar,Supervisor,,CREDAT,Date created,,D,,,,,
ABATCAL,ABC,Batch server calendar,Supervisor,,CREDATTIM,Date time,,ADATIM,,,,,
ABATCAL,ABC,Batch server calendar,Supervisor,,CREUSR,Creation user,,AUS,,,[AUS]CODUSR=[ABC]CREUSR,Other,
ABATCAL,ABC,Batch server calendar,Supervisor,,DES,Description,,DES,,,,,
ABATCAL,ABC,Batch server calendar,Supervisor,,ENDDAT,End date,25.0,D,,,,,
ABATCAL,ABC,Batch server calendar,Supervisor,,NBRDAT,Number of lines,,C,4.0,,,,
ABATCAL,ABC,Batch server calendar,Supervisor,,STRDAT,Start date,25.0,D,,,,,
ABATCAL,ABC,Batch server calendar,Supervisor,,UPDDAT,Change date,,D,,,,,
ABATCAL,ABC,Batch server calendar,Supervisor,,UPDDATTIM,Date time,,ADATIM,,,,,
ABATCAL,ABC,Batch server calendar,Supervisor,,UPDUSR,Change user,,AUS,,,[AUS]CODUSR=[ABC]UPDUSR,Other,
ABATGRP,ABG,Batch server (groups),Supervisor,,AUUID,Single identifier,,AUUID,,,,,
ABATGRP,ABG,Batch server (groups),Supervisor,,CNTERR,Proceed if error,,M,4.0,1.0,,,
ABATGRP,ABG,Batch server (groups),Supervisor,,CODGRP,Group,,ABG,,,[ABG]ABG0=[ABG]CODGRP,Delete,
ABATGRP,ABG,Batch server (groups),Supervisor,,CODTAC,Task code,30.0,ABT,,,[ABT]CODTAC=[ABG]CODTAC,Block,
ABATGRP,ABG,Batch server (groups),Supervisor,,CREDAT,Date created,,D,,,,,
ABATGRP,ABG,Batch server (groups),Supervisor,,CREDATTIM,Date time,,ADATIM,,,,,
ABATGRP,ABG,Batch server (groups),Supervisor,,CREUSR,Creation user,,AUS,,,[AUS]CODUSR=[ABG]CREUSR,Other,
ABATGRP,ABG,Batch server (groups),Supervisor,,DES,Description,,ATX,,,,,
ABATGRP,ABG,Batch server (groups),Supervisor,,ENAFLG,Active,,M,4.0,1.0,,,
ABATGRP,ABG,Batch server (groups),Supervisor,,HOR,Hourly constraints,,ABH,,,[ABH]ABH0=[ABG]HOR,Block,
ABATGRP,ABG,Batch server (groups),Supervisor,,MODULE,Module,,M,15.0,14.0,,,
ABATGRP,ABG,Batch server (groups),Supervisor,,NBTAC,Number,,C,4.0,,,,
ABATGRP,ABG,Batch server (groups),Supervisor,,NIVEAU,Authorization level,,C,2.0,,,,
ABATGRP,ABG,Batch server (groups),Supervisor,,SEQ,Sequence,30.0,L,8.0,,,,
ABATGRP,ABG,Batch server (groups),Supervisor,,UPDDAT,Change date,,D,,,,,
ABATGRP,ABG,Batch server (groups),Supervisor,,UPDDATTIM,Date time,,ADATIM,,,,,
ABATGRP,ABG,Batch server (groups),Supervisor,,UPDUSR,Change user,,AUS,,,[AUS]CODUSR=[ABG]UPDUSR,Other,
ABATHOR,ABH,Hourly constraints,Supervisor,,AUUID,Single identifier,,AUUID,,,,,
ABATHOR,ABH,Hourly constraints,Supervisor,,CAL,Calendar,,ABC,,,[ABC]ABC0=[ABH]CAL,Block,
ABATHOR,ABH,Hourly constraints,Supervisor,,COD,Constraint,,ABH,,,[ABH]ABH0=[ABH]COD,Delete,
ABATHOR,ABH,Hourly constraints,Supervisor,,CREDAT,Date created,,D,,,,,
ABATHOR,ABH,Hourly constraints,Supervisor,,CREDATTIM,Date time,,ADATIM,,,,,
ABATHOR,ABH,Hourly constraints,Supervisor,,CREUSR,Creation user,,AUS,,,[AUS]CODUSR=[ABH]CREUSR,Other,
ABATHOR,ABH,Hourly constraints,Supervisor,,DAYOPE,Working day,7.0,M,4.0,1.0,,,
ABATHOR,ABH,Hourly constraints,Supervisor,,DES,Description,,DES,,,,,
ABATHOR,ABH,Hourly constraints,Supervisor,,ENDCLO,End time,5.0,HM,,,,,
ABATHOR,ABH,Hourly constraints,Supervisor,,ENDOPE,End time,5.0,HM,,,,,
ABATHOR,ABH,Hourly constraints,Supervisor,,NBRCLO,Lines,,C,4.0,,,,
ABATHOR,ABH,Hourly constraints,Supervisor,,NBROPE,Lines,,C,4.0,,,,
ABATHOR,ABH,Hourly constraints,Supervisor,,STRCLO,Start time,5.0,HM,,,,,
ABATHOR,ABH,Hourly constraints,Supervisor,,STROPE,Start time,5.0,HM,,,,,
ABATHOR,ABH,Hourly constraints,Supervisor,,UPDDAT,Change date,,D,,,,,
ABATHOR,ABH,Hourly constraints,Supervisor,,UPDDATTIM,Date time,,ADATIM,,,,,
ABATHOR,ABH,Hourly constraints,Supervisor,,UPDUSR,Change user,,AUS,,,[AUS]CODUSR=[ABH]UPDUSR,Other,
ABATPAR,ABP,Batch server (parameters),Supervisor,,APPLI,Server name,,A,10.0,,,,
ABATPAR,ABP,Batch server (parameters),Supervisor,,AUUID,Single identifier,,AUUID,,,,,
ABATPAR,ABP,Batch server (parameters),Supervisor,,CREDATTIM,Date time,,ADATIM,,,,,
ABATPAR,ABP,Batch server (parameters),Supervisor,,CREUSR,User,,AUS,,,[AUS]CODUSR=[ABP]CREUSR,Other,
ABATPAR,ABP,Batch server (parameters),Supervisor,,FLGPATCH,Patch,,M,4.0,1.0,,,
ABATPAR,ABP,Batch server (parameters),Supervisor,,JOB,Batch,,M,4.0,1.0,,,
ABATPAR,ABP,Batch server (parameters),Supervisor,,LECPID,Waiting read PID,,C,2.0,,,,
ABATPAR,ABP,Batch server (parameters),Supervisor,,NBTACHE,No. active requests,,C,2.0,,,,
ABATPAR,ABP,Batch server (parameters),Supervisor,,NUMREQ,Query no.,,L,8.0,,,,
ABATPAR,ABP,Batch server (parameters),Supervisor,,PROCESS,Process no.,,A,10.0,,,,
ABATPAR,ABP,Batch server (parameters),Supervisor,,REPJOB,Batch files,7.0,FIC,80.0,,,,
ABATPAR,ABP,Batch server (parameters),Supervisor,,RETARD,Late,,L,8.0,,,,
ABATPAR,ABP,Batch server (parameters),Supervisor,,RQTLOG,Log,,M,4.0,1.0,,,
ABATPAR,ABP,Batch server (parameters),Supervisor,,SPOOL,Search key,,A,1.0,,,,
ABATPAR,ABP,Batch server (parameters),Supervisor,,STOP,Stop flag,,C,1.0,,,,
ABATPAR,ABP,Batch server (parameters),Supervisor,,TEMPS,Search,,L,8.0,,,,
ABATPAR,ABP,Batch server (parameters),Supervisor,,TIMIMP,Time-out,,L,8.0,,,,
ABATPAR,ABP,Batch server (parameters),Supervisor,,TIMOUT,Time-out,,L,8.0,,,,
ABATPAR,ABP,Batch server (parameters),Supervisor,,UPDDATTIM,Date time,,ADATIM,,,,,
ABATPAR,ABP,Batch server (parameters),Supervisor,,UPDUSR,User,,AUS,,,[AUS]CODUSR=[ABP]UPDUSR,Other,
ABATRQT,ABR,Batch server (queries),Supervisor,,AUUID,Single identifier,,AUUID,,,,,
ABATRQT,ABR,Batch server (queries),Supervisor,,CNTERR,Proceed if error,,M,4.0,1.0,,,
ABATRQT,ABR,Batch server (queries),Supervisor,,CODABT,Recurring task code,,ABA,,,[ABA]CODABT=[ABR]CODABT,Block,
ABATRQT,ABR,Batch server (queries),Supervisor,,CREDATTIM,Date time,,ADATIM,,,,,
ABATRQT,ABR,Batch server (queries),Supervisor,,CREUSR,User,,AUS,,,[AUS]CODUSR=[ABR]CREUSR,Other,
ABATRQT,ABR,Batch server (queries),Supervisor,,DAT,Date,,D,,,,,
ABATRQT,ABR,Batch server (queries),Supervisor,,DFIN,End date,,D,,,,,
ABATRQT,ABR,Batch server (queries),Supervisor,,DOSSIER,Folder,,ADS,,,[ADS]DOSSIER=[ABR]DOSSIER,Delete,
ABATRQT,ABR,Batch server (queries),Supervisor,,EPUR,Purge,,M,4.0,1.0,,,
ABATRQT,ABR,Batch server (queries),Supervisor,,ETAT,Processing,,ADC,,,,,
ABATRQT,ABR,Batch server (queries),Supervisor,,FLAG,Status,,M,15.0,21.0,,,
ABATRQT,ABR,Batch server (queries),Supervisor,,FLGV3,V3 flag,,C,4.0,,,,
ABATRQT,ABR,Batch server (queries),Supervisor,,FRQ,Frequency (min),,L,8.0,,,,
ABATRQT,ABR,Batch server (queries),Supervisor,,FRQFIN,End time,,HM,,,,,
ABATRQT,ABR,Batch server (queries),Supervisor,,GRP,Group,,ABG,,,[ABG]ABG0=[ABR]GRP,Block,
ABATRQT,ABR,Batch server (queries),Supervisor,,HDEB,Start time,,HS,,,,,
ABATRQT,ABR,Batch server (queries),Supervisor,,HEURE,Time,,HM,,,,,
ABATRQT,ABR,Batch server (queries),Supervisor,,HFIN,Time,,HS,,,,,
ABATRQT,ABR,Batch server (queries),Supervisor,,IMPETX,Printer,,C,2.0,,,,
ABATRQT,ABR,Batch server (queries),Supervisor,,JOB,Batch file,,FIC,50.0,,,,
ABATRQT,ABR,Batch server (queries),Supervisor,,LAN,Language,,LAN,,,[TLA]TLA0=[ABR]LAN,Other,
ABATRQT,ABR,Batch server (queries),Supervisor,,MESSAGE,Message - user,,M,4.0,1.0,,,
ABATRQT,ABR,Batch server (queries),Supervisor,,MONO,Single-user,,M,4.0,1.0,,,
ABATRQT,ABR,Batch server (queries),Supervisor,,MOTINT,Reason for interruption,,DES,,,,,
ABATRQT,ABR,Batch server (queries),Supervisor,,NUMGRP,Order no.,,L,8.0,,,,
ABATRQT,ABR,Batch server (queries),Supervisor,,NUMREQ,Query no.,,L,8.0,,,,
ABATRQT,ABR,Batch server (queries),Supervisor,,ONE,One single query,,M,4.0,1.0,,,
ABATRQT,ABR,Batch server (queries),Supervisor,,PORT,Port,,L,8.0,,,,
ABATRQT,ABR,Batch server (queries),Supervisor,,PRIO,Priority,,C,2.0,,,,
ABATRQT,ABR,Batch server (queries),Supervisor,,PROCESS,Process no.,,A,10.0,,,,
ABATRQT,ABR,Batch server (queries),Supervisor,,SEQGRP,Sequence,,L,8.0,,,,
ABATRQT,ABR,Batch server (queries),Supervisor,,SERVER,Server,,AMC,,,,,
ABATRQT,ABR,Batch server (queries),Supervisor,,SESSIONID,Session ID,,L,8.0,,,,
ABATRQT,ABR,Batch server (queries),Supervisor,,TACHE,Task code,,ABT,,,[ABT]CODTAC=[ABR]TACHE,Block,
ABATRQT,ABR,Batch server (queries),Supervisor,,TIMOUT,Time-out,,L,8.0,,,,
ABATRQT,ABR,Batch server (queries),Supervisor,,TYPTAC,Task type,,M,15.0,20.0,,,
ABATRQT,ABR,Batch server (queries),Supervisor,,UPDDATTIM,Date time,,ADATIM,,,,,
ABATRQT,ABR,Batch server (queries),Supervisor,,UPDUSR,User,,AUS,,,[AUS]CODUSR=[ABR]UPDUSR,Other,
ABATRQT,ABR,Batch server (queries),Supervisor,,USER,User code,,AUS,,,[AUS]CODUSR=[ABR]USER,Other,
ABATRQT,ABR,Batch server (queries),Supervisor,,USRINT,User,,AUS,,,[AUS]CODUSR=[ABR]USRINT,Other,
ABATRQTL,ABL,Batch server (queries),Supervisor,,AUUID,Single identifier,,AUUID,,,,,
ABATRQTL,ABL,Batch server (queries),Supervisor,,CREDATTIM,Date time,,ADATIM,,,,,
ABATRQTL,ABL,Batch server (queries),Supervisor,,CREUSR,User,,AUS,,,[AUS]CODUSR=[ABL]CREUSR,Other,
ABATRQTL,ABL,Batch server (queries),Supervisor,,NUM,Number,,C,3.0,,,,
ABATRQTL,ABL,Batch server (queries),Supervisor,,NUMREQ,Query no.,,L,8.0,,,,
ABATRQTL,ABL,Batch server (queries),Supervisor,,PARAM,Parameter,,A,15.0,,,,
ABATRQTL,ABL,Batch server (queries),Supervisor,,UPDDATTIM,Date time,,ADATIM,,,,,
ABATRQTL,ABL,Batch server (queries),Supervisor,,UPDUSR,User,,AUS,,,[AUS]CODUSR=[ABL]UPDUSR,Other,
ABATRQTL,ABL,Batch server (queries),Supervisor,,VALEUR,Value,,A,30.0,,,,
ABATTAC,ABT,Batch server (tasks),Supervisor,,AUUID,Single identifier,,AUUID,,,,,
ABATTAC,ABT,Batch server (tasks),Supervisor,,CODTAC,Task code,,ABT,,,[ABT]CODTAC=[ABT]CODTAC,Delete,
ABATTAC,ABT,Batch server (tasks),Supervisor,,CREDAT,Date created,,D,,,,,
ABATTAC,ABT,Batch server (tasks),Supervisor,,CREDATTIM,Date time,,ADATIM,,,,,
ABATTAC,ABT,Batch server (tasks),Supervisor,,CREUSR,Creation user,,AUS,,,[AUS]CODUSR=[ABT]CREUSR,Other,
ABATTAC,ABT,Batch server (tasks),Supervisor,,DES,Description,,ATX,,,,,
ABATTAC,ABT,Batch server (tasks),Supervisor,,DOSPAR,Parameter folder,,ADS,,,[ADS]DOSSIER=[ABT]DOSPAR,Delete,
ABATTAC,ABT,Batch server (tasks),Supervisor,,ENAFLG,Active,,M,4.0,1.0,,,
ABATTAC,ABT,Batch server (tasks),Supervisor,,FONCTION,Function,,AFC,,,[AFC]CODINT=[ABT]FONCTION,Other,
ABATTAC,ABT,Batch server (tasks),Supervisor,,HOR,Hourly constraints,,ABH,,,[ABH]ABH0=[ABT]HOR,Block,
ABATTAC,ABT,Batch server (tasks),Supervisor,,MESSAGE,User message,,M,4.0,1.0,,,
ABATTAC,ABT,Batch server (tasks),Supervisor,,MODULE,Module,,M,15.0,14.0,,,
ABATTAC,ABT,Batch server (tasks),Supervisor,,MONO,Single-user,,M,4.0,1.0,,,
ABATTAC,ABT,Batch server (tasks),Supervisor,,MULTIDOS,Multi-folder,,M,4.0,1.0,,,
ABATTAC,ABT,Batch server (tasks),Supervisor,,NIVEAU,Authorization level,,C,2.0,,,,
ABATTAC,ABT,Batch server (tasks),Supervisor,,PARAM,Parameter,,A,15.0,,,,
ABATTAC,ABT,Batch server (tasks),Supervisor,,PRIO,Priority,,C,2.0,,,,
ABATTAC,ABT,Batch server (tasks),Supervisor,,PROGPAR,Parameter program,,ADC,,,,,
ABATTAC,ABT,Batch server (tasks),Supervisor,,RETARD,Late,,L,8.0,,,,
ABATTAC,ABT,Batch server (tasks),Supervisor,,TIMOUT,Time-out,,A,10.0,,,,
ABATTAC,ABT,Batch server (tasks),Supervisor,,TRAIT,Object,,ADC,,,,,
ABATTAC,ABT,Batch server (tasks),Supervisor,,TYPTAC,Task type,,M,15.0,20.0,,,
ABATTAC,ABT,Batch server (tasks),Supervisor,,UPDDAT,Change date,,D,,,,,
ABATTAC,ABT,Batch server (tasks),Supervisor,,UPDDATTIM,Date time,,ADATIM,,,,,
ABATTAC,ABT,Batch server (tasks),Supervisor,,UPDUSR,Change user,,AUS,,,[AUS]CODUSR=[ABT]UPDUSR,Other,
ABICOND,AII,Predefined conditions,Supervisor,ABI,ABM,Datamart,,ABM,,,[ABM]ABM0=[AII]ABM,Block,
ABICOND,AII,Predefined conditions,Supervisor,ABI,ACV,Activity code,,ACV,,,[ACV]CODACT=[AII]ACV,Block,
ABICOND,AII,Predefined conditions,Supervisor,ABI,AUUID,Single identifier,,AUUID,,,,,
ABICOND,AII,Predefined conditions,Supervisor,ABI,CNDDEF,Condition,,AFR,250.0,,,,
ABICOND,AII,Predefined conditions,Supervisor,ABI,CNDORA,Oracle condition,,AFR,250.0,,,,
ABICOND,AII,Predefined conditions,Supervisor,ABI,CNDSQL,Sql-server condition,,AFR,250.0,,,,
ABICOND,AII,Predefined conditions,Supervisor,ABI,COD,Code,,AII,,,[AII]AII0=[AII]COD,Delete,
ABICOND,AII,Predefined conditions,Supervisor,ABI,CODABF,Fact table,,ABF,,,[ABF]ABF0=[AII]CODABF,Block,
ABICOND,AII,Predefined conditions,Supervisor,ABI,CODABF1,Fact table,2.0,ABF,,,[ABF]ABF0=[AII]CODABF1,Block,
ABICOND,AII,Predefined conditions,Supervisor,ABI,CODDIM1,Dimension,2.0,ABI,,,[ABI]ABI0=[AII]CODDIM1,Block,
ABICOND,AII,Predefined conditions,Supervisor,ABI,CODDIM2,Dimension,2.0,ABI,,,[ABI]ABI0=[AII]CODDIM2,Block,
ABICOND,AII,Predefined conditions,Supervisor,ABI,CODDIM3,Dimension,2.0,ABI,,,[ABI]ABI0=[AII]CODDIM3,Block,
ABICOND,AII,Predefined conditions,Supervisor,ABI,CODDIM4,Dimension,2.0,ABI,,,[ABI]ABI0=[AII]CODDIM4,Block,
ABICOND,AII,Predefined conditions,Supervisor,ABI,CODDIM5,Dimension,2.0,ABI,,,[ABI]ABI0=[AII]CODDIM5,Block,
ABICOND,AII,Predefined conditions,Supervisor,ABI,CODDIM6,Dimension,2.0,ABI,,,[ABI]ABI0=[AII]CODDIM6,Block,
ABICOND,AII,Predefined conditions,Supervisor,ABI,CODDIM7,Dimension,2.0,ABI,,,[ABI]ABI0=[AII]CODDIM7,Block,
ABICOND,AII,Predefined conditions,Supervisor,ABI,CODDIM8,Dimension,2.0,ABI,,,[ABI]ABI0=[AII]CODDIM8,Block,
ABICOND,AII,Predefined conditions,Supervisor,ABI,CODDIM9,Dimension,2.0,ABI,,,[ABI]ABI0=[AII]CODDIM9,Block,
ABICOND,AII,Predefined conditions,Supervisor,ABI,CODFLD1,Field code,2.0,AVA,,,,,
ABICOND,AII,Predefined conditions,Supervisor,ABI,CODLNK,Dimension,,ABI,,,[ABI]ABI0=[AII]CODLNK,Block,
ABICOND,AII,Predefined conditions,Supervisor,ABI,CREDAT,Date created,,D,,,,,
ABICOND,AII,Predefined conditions,Supervisor,ABI,CREDATTIM,Date time,,ADATIM,,,,,
ABICOND,AII,Predefined conditions,Supervisor,ABI,CREUSR,Creation user,,AUS,,,[AUS]CODUSR=[AII]CREUSR,Other,
ABICOND,AII,Predefined conditions,Supervisor,ABI,DES,Description,,ATX,,,,,
ABICOND,AII,Predefined conditions,Supervisor,ABI,EXPLNK,Link expression,,A,80.0,,,,
ABICOND,AII,Predefined conditions,Supervisor,ABI,FLDDIM1,Field code,2.0,AVA,,,,,
ABICOND,AII,Predefined conditions,Supervisor,ABI,FLDDIM2,Field code,2.0,AVA,,,,,
ABICOND,AII,Predefined conditions,Supervisor,ABI,FLDDIM3,Field code,2.0,AVA,,,,,
ABICOND,AII,Predefined conditions,Supervisor,ABI,FLDDIM4,Field code,2.0,AVA,,,,,
ABICOND,AII,Predefined conditions,Supervisor,ABI,FLDDIM5,Field code,2.0,AVA,,,,,
ABICOND,AII,Predefined conditions,Supervisor,ABI,FLDDIM6,Field code,2.0,AVA,,,,,
ABICOND,AII,Predefined conditions,Supervisor,ABI,FLDDIM7,Field code,2.0,AVA,,,,,
ABICOND,AII,Predefined conditions,Supervisor,ABI,FLDDIM8,Field code,2.0,AVA,,,,,
ABICOND,AII,Predefined conditions,Supervisor,ABI,FLDDIM9,Field code,2.0,AVA,,,,,
ABICOND,AII,Predefined conditions,Supervisor,ABI,INTEVAL,Evaluated title,,A,60.0,,,,
ABICOND,AII,Predefined conditions,Supervisor,ABI,INTVALTEX,Evaluated title,,A,60.0,,,,
ABICOND,AII,Predefined conditions,Supervisor,ABI,MODULE,Module,,M,15.0,14.0,,,
ABICOND,AII,Predefined conditions,Supervisor,ABI,ORD,Order,,C,3.0,,,,
ABICOND,AII,Predefined conditions,Supervisor,ABI,TEX,Prompt text,,ATX,,,,,
ABICOND,AII,Predefined conditions,Supervisor,ABI,TYPOPT,Option,2.0,A,15.0,,,,
ABICOND,AII,Predefined conditions,Supervisor,ABI,UPDDAT,Change date,,D,,,,,
ABICOND,AII,Predefined conditions,Supervisor,ABI,UPDDATTIM,Date time,,ADATIM,,,,,
ABICOND,AII,Predefined conditions,Supervisor,ABI,UPDUSR,Change user,,AUS,,,[AUS]CODUSR=[AII]UPDUSR,Other,
ABIDATMRT,ABM,Datamart,Supervisor,ABI,ABR,Abbreviation,,ABR,,,,,
ABIDATMRT,ABM,Datamart,Supervisor,ABI,ACTABF,Activity code,50.0,ACV,,,[ACV]CODACT=[ABM]ACTABF,Block,
