Table,Abbreviation,Description,Module,Activity code,TablesMappedToModelOnly,TablesMappedToSubModel,linkedTablewithDescription
ABATRQT2,A11,Batch server (queries),Development,,,,
TABCOUNTRY,TCY,Country table,Supervisor,,"Common data,Purchasing","Company and Sites,Business Partner,Common Tables,Purchase Returns","TABCOUNTRY  (Country table  ) , TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  ) , AWINDOW  (Window dictionary  ) , TABCUR  (Currency table  )"
ABATRQTL,ABL,Batch server (queries),Supervisor,,,,
TABSUBDIV,ATU,Geographic subdivisions,Supervisor,,,,TABCOUNTRY  (Country table  )
ABATTAC,ABT,Batch server (tasks),Supervisor,,,,"ADOSSIER  (Folder table  ) , ABATTAC  (Batch server (tasks)  ) , ABATHOR  (Hourly constraints  ) , AFONCTION  (Function dictionary  )"
DCLCUSVATBE,DLCB,Annual customer listing,Financials,KBE,,,"TABCOUNTRY  (Country table  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , BPARTNER  (Business partner  )"
ABICOND,AII,Predefined conditions,Supervisor,ABI,,,"ABIDATMRT  (Datamart  ) , ACTIV  (Activity codes  ) , ABICOND  (Predefined conditions  ) , ABITABDAT  (Fact tables  ) , ABIDIM  (Dimensions  )"
DCLEECVATBE,DLEB,EU VAT statement (header),Financials,KBE,,,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , BPARTNER  (Business partner  )"
ABIDATMRT,ABM,Datamart,Supervisor,ABI,,,"AFONCTION  (Function dictionary  ) , ABIDATMRT  (Datamart  ) , ACTIV  (Activity codes  ) , ABITABDAT  (Fact tables  )"
DCLVATPORB,DVPB,VAT base information,Financials,KPO,,,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , BPARTNER  (Business partner  ) , TABVAT  (Tax code table  )"
ABIDATWRH,ABW,Data warehouse,Supervisor,ABI,,,"TABLAN  (Language table  ) , ABIDATMRT  (Datamart  ) , ABIDATWRH  (Data warehouse  )"
DCLVATPORL,DVPL,VAT declaration lines,Financials,KPO,,,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , BPARTNER  (Business partner  )"
ABIDIM,ABI,Dimensions,Supervisor,ABI,,,"ACTIV  (Activity codes  ) , ABIDIM  (Dimensions  ) , ATABLE  (Table dictionary  )"
DCLVATSPA,DVS,Tax working table (SPA),Financials,KSP,,,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , GTYPACCENT  (Document types  ) , TABVAT  (Tax code table  ) , TABVACBPR  (BP tax rule table  )"
ABIDIMFLD,ABJ,Dimensions (fields),Supervisor,ABI,,,"ACTIV  (Activity codes  ) , ABIDIM  (Dimensions  ) , ATYPE  (Data types  ) , ATABTAB  (Miscellaneous table set-up  )"
ABIHIERA,AHH,Hierarchies,Supervisor,ABI,,,"ABIDATMRT  (Datamart  ) , ACTIV  (Activity codes  ) , ABITABDAT  (Fact tables  ) , ABIDIM  (Dimensions  ) , ABIHIERA  (Hierarchies  )"
PBDGEND,PBDGEND,Payment balance decl details,Financials,PBDCL,,,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , PBDECOCOD  (Economic reason code  ) , BPARTNER  (Business partner  )"
ABIPRFUSR,AIU,BI user profile,Supervisor,ABI,,,ABIPRFUSR  (BI user profile  )
ATABDIV,ADI,Miscellaneous tables,Supervisor,,"Accounting,Common data,Purchasing,Sales","Accounting Entry,Accounting Entry By Lot,Accounting Data,Payment,Item,Business Partner,Common Tables,Normal Purchase Orders,Cumulative Purchase Orders,Purchase Receipts,Purchase Returns,Purchase Invoice,Quotation,Normal Sales Orders,Cumulative Sales Orders,Sales Deliveries,Sales Invoice,Sales Returns","ATABTAB  (Miscellaneous table set-up  ) , ATABDIV  (Miscellaneous tables  ) , AGRPFCY  (Site groupings  )"
ABIREGDES,ABY,Synchronization rules (dest),Supervisor,ABI,,,"ABITABDAT  (Fact tables  ) , ABIREGORG  (Synchronisation rules  )"
ABIREGORG,ABV,Synchronisation rules,Supervisor,ABI,,,"ACTIV  (Activity codes  ) , ATABLE  (Table dictionary  ) , ABIREGORG  (Synchronisation rules  )"
ABIREPORT,ABO,Business objects reports,Supervisor,ABI,,,"TABLAN  (Language table  ) , ABIDATMRT  (Datamart  ) , ACTIV  (Activity codes  ) , ACCCOD  (Access codes  ) , ABIREPORT  (Business objects reports  )"
ABIREPORTD,ABQ,Business objects reports,Supervisor,ABI,,,"ATYPE  (Data types  ) , ATABTAB  (Miscellaneous table set-up  ) , ACCCOD  (Access codes  ) , ABIREPORT  (Business objects reports  ) , ACTL  (Control tables  )"
ABIREPORTID,ABOID,Business objects reports,Supervisor,ABI,,,"TABLAN  (Language table  ) , ABIDATWRH  (Data warehouse  ) , ABIREPORT  (Business objects reports  )"
PAYMENTH,PYH,Payment header,A/P-A/R accounting,,Accounting,Payment,"TABCOUNTRY  (Country table  ) , ACCCOD  (Access codes  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , PBDECOCOD  (Economic reason code  ) , BPARTNER  (Business partner  ) , BANK  (Bank accounts  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , MANDATE  (Mandates  ) , TABPAM  (Payment mode table  ) , TABPAYTYP  (Payment types  )"
ABITABAGG,ABE,Fact table (aggregates),Supervisor,ABI,,,"ACTIV  (Activity codes  ) , ABITABDAT  (Fact tables  ) , ABIDIM  (Dimensions  )"
ABITABDAT,ABF,Fact tables,Supervisor,ABI,,,"AFONCTION  (Function dictionary  ) , ACTIV  (Activity codes  ) , ABITABDAT  (Fact tables  )"
RSLINESGER1,RSLG1,Recapitulative statement,A/P-A/R accounting,KDEAT,,,"TABCOUNTRY  (Country table  ) , TABVAT  (Tax code table  ) , REPLINDEF  (Report line definitions  )"
ABITABFLD,ABZ,Fact table (fields),Supervisor,ABI,,,"ACTIV  (Activity codes  ) , ABITABDAT  (Fact tables  ) , ATYPE  (Data types  ) , ATABTAB  (Miscellaneous table set-up  )"
RSLINESGER2,RSLG2,Recapitulative statement,A/P-A/R accounting,KDEAT,,,"TABCOUNTRY  (Country table  ) , BPARTNER  (Business partner  ) , GTYPACCENT  (Document types  ) , TABVAT  (Tax code table  ) , TABVACBPR  (BP tax rule table  ) , REPLINDEF  (Report line definitions  )"
AGRPCPY,AGC,Company groupings,Supervisor,,"Accounting,Common data","Accounting Data,Business Partner","COMPANY  (Company  ) , AGRPFCY  (Site groupings  )"
TMPCNSBAN,TCB,Bank inquiry,A/P-A/R accounting,,,,"TABCOUNTRY  (Country table  ) , TABCUR  (Currency table  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , GTYPACCENT  (Document types  ) , GJOURNAL  (Journal codes  ) , TABPAM  (Payment mode table  ) , TABPAYTYP  (Payment types  )"
ABITABIND,ABX,Fact table (index),Supervisor,ABI,,,"ACTIV  (Activity codes  ) , ABITABDAT  (Fact tables  )"
ABITABLNK,ABK,Fact table (links),Supervisor,ABI,,,"ABITABDAT  (Fact tables  ) , ABIDIM  (Dimensions  )"
LTAPAR,LTP,Sage Sales Tax connection,Sales,LTA,,,"TABCOUNTRY  (Country table  ) , ADOSSIER  (Folder table  ) , SFOOTINV  (Invoicing elements  )"
ABITRAUNV,ATV,Report translation,Supervisor,ABI,,,"TABLAN  (Language table  ) , ABIDATMRT  (Datamart  )"
LTAVCR,LTV,Local tax by sales document,Sales,LTA,,,"TABCOUNTRY  (Country table  ) , TABCUR  (Currency table  ) , SFOOTINV  (Invoicing elements  )"
ABLBSYS,ASB,Graphic components,Supervisor,,,,"ATABDIV  (Miscellaneous tables  ) , ABLBSYS  (Graphic components  )"
SDELIVERY,SDH,Delivery header,Sales,,Sales,"Sales Deliveries,Sales Returns","TABCOUNTRY  (Country table  ) , TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , WAREHOUSE  (Warehouses  ) , CONTACTCRM  (Contact relationships  ) , BPARTNER  (Business partner  ) , PRICSTRUCT  (Price structure (cust/supp)  ) , SFOOTINV  (Invoicing elements  ) , TABUNIT  (Table of units of measure  ) , TABVACBPR  (BP tax rule table  ) , PIMPL  (  ) , CADSP  (Analytical allocations  ) , TABPAYTERM  (Payment term table  ) , GAUTACE  (Automatic journals  ) , TABDEPAGIO  (Early discount/late charge table  ) , SALESREP  (Sales rep  ) , BPCARRIER  (Carriers  ) , TABMODELIV  (Delivery methods  ) , BPDLVCUST  (Ship-to customer  ) , STOLOC  (Locations  ) , INCOTERM  (Incoterms  ) , TABEECNAT  (Intrastat transaction nature table  ) , TABEECSCH  (Statistical rule table  ) , TABSDHTYP  (Table types deliveries  )"
ABLOB,ABB,Special folders,Supervisor,,,,ATYPEPRO  (Content type  )
SINVOICEV,SIV,Costing sales invoice,Sales,,Sales,"Sales Deliveries,Sales Invoice","TABCOUNTRY  (Country table  ) , TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CONTACTCRM  (Contact relationships  ) , BPARTNER  (Business partner  ) , PRICSTRUCT  (Price structure (cust/supp)  ) , SFOOTINV  (Invoicing elements  ) , TABUNIT  (Table of units of measure  ) , PIMPL  (  ) , CADSP  (Analytical allocations  ) , GAUTACE  (Automatic journals  ) , TABPAM  (Payment mode table  ) , FACTOR  (Factors  ) , TABDEPAGIO  (Early discount/late charge table  ) , SALESREP  (Sales rep  ) , BPCARRIER  (Carriers  ) , BPDLVCUST  (Ship-to customer  ) , STOLOC  (Locations  ) , INCOTERM  (Incoterms  ) , TABEECNAT  (Intrastat transaction nature table  ) , TABEECSCH  (Statistical rule table  ) , CMARKETING  (Marketing campaign  ) , TABSIVTYP  (Customer invoice type table  )"
ACALCUL,AKL,Calculator history,Supervisor,,,,
SORDER,SOH,Sales orders - header,Sales,,"Customer relation,Purchasing,Sales","Service response,Normal Purchase Orders,Quotation,Normal Sales Orders,Cumulative Sales Orders,Sales Deliveries","TABCOUNTRY  (Country table  ) , TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , CONTACTCRM  (Contact relationships  ) , BPARTNER  (Business partner  ) , PRICSTRUCT  (Price structure (cust/supp)  ) , SFOOTINV  (Invoicing elements  ) , TABUNIT  (Table of units of measure  ) , TABVACBPR  (BP tax rule table  ) , PIMPL  (  ) , CADSP  (Analytical allocations  ) , TABPAYTERM  (Payment term table  ) , TABDEPAGIO  (Early discount/late charge table  ) , SALESREP  (Sales rep  ) , BPCARRIER  (Carriers  ) , TABMODELIV  (Delivery methods  ) , BPDLVCUST  (Ship-to customer  ) , INCOTERM  (Incoterms  ) , TABSDHTYP  (Table types deliveries  ) , SERREQUEST  (Service requests  ) , CMARKETING  (Marketing campaign  ) , TABINVCND  (  ) , TABSOHTYP  (Order type table  )"
ACCCOD,ACS,Access codes,Supervisor,,,,ACCCOD  (Access codes  )
SPRICLINK,SPK,Sales price list search,Sales,,,,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , TABVACBPR  (BP tax rule table  ) , PIMPL  (  ) , TABPAYTERM  (Payment term table  ) , BPCARRIER  (Carriers  ) , TABMODELIV  (Delivery methods  ) , TABPACKAGE  (Packaging table  ) , ITMSALES  (Products - sales  ) , INCOTERM  (Incoterms  ) , BPCUSTOMER  (Customers  ) , TABSOHTYP  (Order type table  )"
ACCES,ACC,Access by user,Supervisor,,,,"ACCCOD  (Access codes  ) , AFCTFCT  (User function profile  )"
SQUOTE,SQH,Quote header,Sales,,Sales,"Quotation,Sales Invoice","TABCOUNTRY  (Country table  ) , TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , CONTACTCRM  (Contact relationships  ) , BPARTNER  (Business partner  ) , PRICSTRUCT  (Price structure (cust/supp)  ) , SFOOTINV  (Invoicing elements  ) , TABUNIT  (Table of units of measure  ) , TABVACBPR  (BP tax rule table  ) , PIMPL  (  ) , CADSP  (Analytical allocations  ) , TABPAYTERM  (Payment term table  ) , TABDEPAGIO  (Early discount/late charge table  ) , SALESREP  (Sales rep  ) , BPCARRIER  (Carriers  ) , INCOTERM  (Incoterms  ) , TABSOHTYP  (Order type table  ) , TABSQHTYP  (Quote type table  )"
ACHANGE,ACG,Key change set up,Supervisor,,,,"ACHANGE  (Key change set up  ) , AOBJET  (Basic objects  )"
SRETURN,SRH,Sales return header,Sales,,Sales,Sales Returns,"TABCOUNTRY  (Country table  ) , TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , WAREHOUSE  (Warehouses  ) , CONTACTCRM  (Contact relationships  ) , BPARTNER  (Business partner  ) , PRICSTRUCT  (Price structure (cust/supp)  ) , PIMPL  (  ) , GAUTACE  (Automatic journals  ) , BPCARRIER  (Carriers  ) , STOLOC  (Locations  ) , INCOTERM  (Incoterms  ) , TABEECNAT  (Intrastat transaction nature table  ) , TABEECSCH  (Statistical rule table  ) , TABSRHTYP  (Return type table  )"
ACLACOL,ACLAC,Classes (Collections),Supervisor,,,,"ACTIV  (Activity codes  ) , ACLASSE  (Classes  )"
ACLAFLD,ACLAF,Classes (lines),Supervisor,,,,"ACTIV  (Activity codes  ) , ATABLE  (Table dictionary  ) , ATYPE  (Data types  ) , ACCCOD  (Access codes  ) , ACTL  (Control tables  ) , ATABDIV  (Miscellaneous tables  ) , ACLASSE  (Classes  )"
ACLALNK,ACLAK,Classes (tables),Supervisor,,,,"ACTIV  (Activity codes  ) , ATABLE  (Table dictionary  ) , ACLASSE  (Classes  )"
PORDER,POH,POs,Purchasing,,"Purchasing,Sales","Purchase Requests,Normal Purchase Orders,Cumulative Purchase Orders,Normal Sales Orders,Cumulative Sales Orders","TABCOUNTRY  (Country table  ) , TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , TABVAT  (Tax code table  ) , TABVACBPR  (BP tax rule table  ) , PIMPL  (  ) , TABPAYTERM  (Payment term table  ) , TABDEPAGIO  (Early discount/late charge table  ) , BPCARRIER  (Carriers  ) , TABMODELIV  (Delivery methods  ) , INCOTERM  (Incoterms  ) , TABCONTAINER  (Freight container  ) , PFOOTINV  (Purchase invoicing elements  )"
ACLAMAP,ACLAKP,Classes (mapping),Supervisor,,,,ACLASSE  (Classes  )
PORDERP,POP,POs price,Purchasing,,Purchasing,"Purchase Requests,Normal Purchase Orders,Cumulative Purchase Orders","TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , TABVAT  (Tax code table  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , PPREASON  (Purchase price reasons  ) , MATCHTOL  (Matching tolerance  )"
ACLAMET,ACLAM,Classes (methods),Supervisor,,,,"ACTIV  (Activity codes  ) , ACLASSE  (Classes  )"
PORDITM,POI,Purchase orders by product,Purchasing,,,,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , TABVAT  (Tax code table  ) , ITMMASTER  (Products  ) , PPREASON  (Purchase price reasons  )"
ACLAMETSTD,ACLAT,Classes (standard methods),Supervisor,,,,"ACTIV  (Activity codes  ) , ACLASSE  (Classes  )"
PQUOTATF,PQF,RFQ supplier detail,Purchasing,,Purchasing,Request For Quotations,"TABCOUNTRY  (Country table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  )"
ACLAOPT,ACLAO,Classes (options),Supervisor,,,,"ACTIV  (Activity codes  ) , ACLASSE  (Classes  )"
PRECEIPT,PTH,Receipt,Purchasing,,Purchasing,Purchase Receipts,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , WAREHOUSE  (Warehouses  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , TABVAT  (Tax code table  ) , TABVACBPR  (BP tax rule table  ) , PIMPL  (  ) , GAUTACE  (Automatic journals  ) , TABDEPAGIO  (Early discount/late charge table  ) , BPCARRIER  (Carriers  ) , TABMODELIV  (Delivery methods  ) , INCOTERM  (Incoterms  ) , TABEECNAT  (Intrastat transaction nature table  ) , TABEECSCH  (Statistical rule table  ) , PFOOTINV  (Purchase invoicing elements  )"
ACLAPARDEF,ACLPD,Classes (parameters),Supervisor,,,,ACLASSE  (Classes  )
PRECEIPTD,PTD,Detail receipts,Purchasing,,Purchasing,"Purchase Receipts,Purchase Returns,Purchase Invoice","TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , WAREHOUSE  (Warehouses  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , TABVAT  (Tax code table  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , PPREASON  (Purchase price reasons  ) , MATCHTOL  (Matching tolerance  )"
ACLAPARFLD,ACLFP,Classes (parameters),Supervisor,,,,ACLASSE  (Classes  )
PRETURN,PNH,Returns,Purchasing,,Purchasing,Purchase Returns,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , WAREHOUSE  (Warehouses  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , TABVACBPR  (BP tax rule table  ) , PIMPL  (  ) , GAUTACE  (Automatic journals  ) , BPCARRIER  (Carriers  ) , TABMODELIV  (Delivery methods  ) , INCOTERM  (Incoterms  ) , TABEECNAT  (Intrastat transaction nature table  ) , TABEECSCH  (Statistical rule table  ) , TABPNHTYP  (Return type table  )"
ACLASSE,ACLA,Classes,Supervisor,,,,"ACTIV  (Activity codes  ) , AOBJET  (Basic objects  ) , ACLASSE  (Classes  )"
PRETURND,PND,Detail return,Purchasing,,"Purchasing,Sales","Purchase Returns,Purchase Invoice,Sales Returns","TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , WAREHOUSE  (Warehouses  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , TABVAT  (Tax code table  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , PPREASON  (Purchase price reasons  )"
ACLBSYS,ASA,Graphic components,Supervisor,,,,"ATABDIV  (Miscellaneous tables  ) , ABLBSYS  (Graphic components  )"
PWRKPND,PWR,Return line detail temporary,Purchasing,,,,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , TABUNIT  (Table of units of measure  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GLED  (Ledger  ) , TABVAT  (Tax code table  ) , BPSUPPLIER  (Suppliers  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , PPREASON  (Purchase price reasons  )"
ACLOB,ACB,Special folders,Supervisor,,,,"ATABDIV  (Miscellaneous tables  ) , ATYPEPRO  (Content type  )"
PWRKPNH,PWE,Temporary return,Purchasing,,,,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , BPSUPPLIER  (Suppliers  ) , TABVACBPR  (BP tax rule table  ) , GAUTACE  (Automatic journals  ) , BPCARRIER  (Carriers  ) , TABMODELIV  (Delivery methods  ) , INCOTERM  (Incoterms  ) , TABEECNAT  (Intrastat transaction nature table  ) , TABEECSCH  (Statistical rule table  )"
ACODIF,ACO,Section coding,Supervisor,,,,
PWRKPOP,PWP,Temporary product-contract,Purchasing,,,,"TABCOUNTRY  (Country table  ) , CACCE  (Dimensions  ) , PIMPL  (  ) , PPREASON  (Purchase price reasons  )"
ACODNUM,ANM,Doc sequence numbers,Supervisor,,,,"ATABLE  (Table dictionary  ) , ATABDIV  (Miscellaneous tables  ) , ACODNUM  (Doc sequence numbers  )"
PWRKPQF,PWF,RFQ ADR supplier temporary,Purchasing,,,,"TABCOUNTRY  (Country table  ) , BPSUPPLIER  (Suppliers  )"
ACONSTANT,ACST,Constants,Supervisor,,,,"ACTIV  (Activity codes  ) , ACONSTANT  (Constants  )"
PWRKPTD,PWD,Temporary detail receipt,Purchasing,,,,"TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , TABUNIT  (Table of units of measure  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GLED  (Ledger  ) , TABVAT  (Tax code table  ) , BPSUPPLIER  (Suppliers  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , PPREASON  (Purchase price reasons  )"
ACONSULT,ACN,Inquiries,Supervisor,,,,"ACTIV  (Activity codes  ) , ATABLE  (Table dictionary  ) , AOBJET  (Basic objects  ) , ACONSULT  (Inquiries  ) , GTABACC  (Inquiry screens  ) , AWINDOW  (Window dictionary  )"
SHIPMENT,SHH,Shipment,Purchasing,,,,"TABCOUNTRY  (Country table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , BPSUPPLIER  (Suppliers  ) , BPCARRIER  (Carriers  ) , TABCONTAINER  (Freight container  ) , TABPLACE  (Transit area  )"
ACONTEXT,ACTX,Context,Supervisor,,,,"ACTIV  (Activity codes  ) , ATYPE  (Data types  ) , ATABDIV  (Miscellaneous tables  ) , ACONTEXT  (Context  )"
ACTCODPAR,AAR,Action parameters,Supervisor,,,,ACTCODPAR  (Action parameters  )
